human_rights_un_rus_sd_64kb_0001	Всеобщая декларация прав человека
human_rights_un_rus_sd_64kb_0002	Принята и провозглашена резолюцией 217 А (III) Генеральной Ассамблеи от 10 декабря
human_rights_un_rus_sd_64kb_0003	1948 года.
human_rights_un_rus_sd_64kb_0004	ПРЕАМБУЛА
human_rights_un_rus_sd_64kb_0005	Принимая во внимание, что признание достоинства, присущего всемчленам человеческой семьи, и равных и неотъемлемых прав их являетсяосновой свободы, справедливости и всеобщего мира;
human_rights_un_rus_sd_64kb_0006	ипринимая во внимание, что пренебрежение и презрение к правам человекапривели к варварским актам, которые возмущают совесть человечества, ичто создание такого мира, в котором люди будут иметь свободу слова иубеждений и будут свободны от страха и нужды, провозглашено каквысокое стремление людей;
human_rights_un_rus_sd_64kb_0007	ипринимая во внимание, что необходимо, чтобы права человека охранялисьвластью закона в целях обеспечения того, чтобы человек не был вынужденприбегать, в качестве последнего средства, к восстанию против тирании иугнетения;
human_rights_un_rus_sd_64kb_0008	ипринимая во внимание, что необходимо содействовать развитиюдружественных отношений между народами;
human_rights_un_rus_sd_64kb_0009	ипринимая во внимание, что народы Объединенных Наций подтвердили в
human_rights_un_rus_sd_64kb_0010	Уставе свою веру в основные права человека, в достоинство и ценностьчеловеческой личности и в равноправие мужчин и женщин и решилисодействовать социальному прогрессу и улучшению условий жизни прибольшей свободе;
human_rights_un_rus_sd_64kb_0011	ипринимая во внимание, что государства-члены обязались содействовать, всотрудничестве с Организацией Объединенных Наций, всеобщемууважению и соблюдению прав человека и основных свобод;
human_rights_un_rus_sd_64kb_0012	ипринимая во внимание, что всеобщее понимание характера этих прав исвобод имеет огромное значение для полного выполнения этогообязательства,
human_rights_un_rus_sd_64kb_0013	Генеральная Ассамблея,провозглашает настоящую Всеобщую декларацию прав человека в качествезадачи, к выполнению которой должны стремиться все народы игосударства с тем, чтобы каждый человек и каждый орган общества,постоянно имея в виду настоящую Декларацию, стремились путемпросвещения и образования содействовать уважению этих прав и свобод иобеспечению, путем национальных и международных прогрессивныхмероприятий, всеобщего и эффективного признания и осуществления ихкак среди народов государств-членов Организации, так и среди народовтерриторий, находящихся под их юрисдикцией.
human_rights_un_rus_sd_64kb_0014	Статья 1
