human_rights_un_slo_msed_64kb_0001	VŠOBECNÁ DEKLARÁCIA LUDSKÝCH PRÁV
human_rights_un_slo_msed_64kb_0002	Úvod
human_rights_un_slo_msed_64kb_0003	Vo vedomí že uznanie prirodzenej dôstojnosti a rovnych a neodcudzite ľných práv členov ľudskej rodiny je základom slobody, spravodlivosti a mieru na svete,že zneuznanie ľudských práv a pohrdanie nimi viedlo k barbarským činom, ktoré urážajú svedomie ľudstva, a že vybudovanie sveta, v ktorom ľudia, zbavení strachu a núdze, budú sa tešiť slobode prejavu a presvedčenia, bolo vyhlásené za najvyšší cieľ ľudu,že je nutné, aby sa ľudsk práva chránily zákonom, ak nemá byť človek donúteý uchýliť sa, keď všetko ostatné zlyhalo, k odboju proti tyranii a útlaku,že je nutné podporovať rozvoj priateľských vzťahov medzi národmi,že ľud Spojených národov zdoraznil v Charte znovu svoju vieru v základné ľudské práva, v dostojnosť a hodnotu ľudskej osobnosti, v rovnaké práva mužov a žien a že sa rozhodol podporovať sociálny pokrok a vytvoriť lepšie životné podmienky za vačšej slobody,že členské štáty prevzaly závazok zaistiť v spolupráci s Organizáciou Spojeých národov všeobecné uznávanie a zachovávanie ľudských práv a základýých slobod aže rovnaké chápanie týchto práv a slobod má nesmierny význam pre dokonalé splnenie tohto závazku,vyhlasuje
human_rights_un_slo_msed_64kb_0004	VALNÉ SHROMAŽDENIEtúto všeobecnú deklaráciu ľudských práv ako spoločný cieľ pre všetky národy a všetky štáty, aby sa každý jednotlivec a každý orgán spoločnosti, majúc túto deklaráciu stále na mysli, snažil vyučovaním a výchovou rozšíriť úctu k týmto právam a slobodám a zaistiť postupnými opatreniami vnútroštátnými i medzinárodnými ich všeobecné a účinné uznávanie a zachovávanie ako medzi ľudom členských štátov samých, tak medzi ľudom území , ktoré sú pod ich právomocou.
human_rights_un_slo_msed_64kb_0005	Článok 1.
human_rights_un_slo_msed_64kb_0006	Všetci ľudia sa rodia slobodní a sebe rovní , čo sa týka ich dostojnosti a práv.
human_rights_un_slo_msed_64kb_0007	Sú obdarení rozumom a majú navzájom jednať v bratskom duchu.
human_rights_un_slo_msed_64kb_0008	Článok 2.
human_rights_un_slo_msed_64kb_0009	Každý má všetky práva a všetky slobody, vyhlášené v tejto deklarácii, bez hociakého rozlišovania najma pod ľa rasy, farby, pohlavia, jazyka, náboženstva, politického alebo iného smýšľania, národnostného alebo sociálného povodu, majetku, rodu alebo iného postavenia
human_rights_un_slo_msed_64kb_0010	Žiaden rozdiel sa nebude robiť na podklade politického, právného alebo nedzinárodného postavenia krajiny alebo územia, ku ktorému osoba prí sluší, či je to krajina alebo územie nezávislé alebo pod poručenstvom, nesamosprávne alebo podrobené hociakému inému obmedzeniu suverenity.
human_rights_un_slo_msed_64kb_0011	Článok 3.
human_rights_un_slo_msed_64kb_0012	Každý má právo na život, slobodu a osobnú bezpečnosť.
human_rights_un_slo_msed_64kb_0013	Článok 4.
human_rights_un_slo_msed_64kb_0014	Nikto sa nesmie držať v otroctve alebo v nevoľníctve: všetky formy otroctva a obchodu s otrokmi sú zakázané.
human_rights_un_slo_msed_64kb_0015	Článok 5.
human_rights_un_slo_msed_64kb_0016	Nikto nesmie byť mučený alebo podrobený krutému, neľudskému alebo ponižujúcemu zaobchádzaniu alebo trestu.
human_rights_un_slo_msed_64kb_0017	Článok 6.
human_rights_un_slo_msed_64kb_0018	Každý má právo, aby bola všade uznávaná jeho právna osobnosť.
human_rights_un_slo_msed_64kb_0019	Článok 7.
human_rights_un_slo_msed_64kb_0020	Všetci sú si pred zákonom rovní a majú právo na rovnakú ochranu zákona bez hociakého rozlišovania.
human_rights_un_slo_msed_64kb_0021	Všetci majú právo na rovnakú ochranu proti hociakej diskriminácii, ktorá porušuje túto deklaráciu, a proti každému podnűcovaniu k takej diskriminácii.
human_rights_un_slo_msed_64kb_0022	Článok 8.
human_rights_un_slo_msed_64kb_0023	Každý má právo, aby mu príslušné vnútroštátne súdy poskytly účinnú ochranu proti činom porušujúcim zčkladné práva, ktoré sú mu priznávané ústavou alebo zákonom.
human_rights_un_slo_msed_64kb_0024	Článok 9.
human_rights_un_slo_msed_64kb_0025	Nikto nesmie byť svojvoľne zatknutý, držaný vo vazbe alebo vyhnaný do vyhnanstva.
human_rights_un_slo_msed_64kb_0026	Článok 10.
human_rights_un_slo_msed_64kb_0027	Každý má úplne rovnaké právo, aby bol spravodlive a verejne vypočutý nezávislým a nestranným súdom, ktorý rozhoduje o jeho právach a povinnostiach a o každom trestnom obvinení, vznesenom proti nemu.
human_rights_un_slo_msed_64kb_0028	Článok 11.
human_rights_un_slo_msed_64kb_0029	Každý, kto je obvinený z trestného činu, považuje se za nevinného, dokiaľ nie je zákonným postupom dokázaná jeho vina vo verejnom pokračovaní, pri ktorom mal zaistené všetky možnosti obhajoby.
human_rights_un_slo_msed_64kb_0030	Nikto nesmie byť odsúdený pre čin alebo opomenutia, ktoré v čase, ked' boly spáchané, neboly trestné podľa štátného alebo medzinárodného práva.
human_rights_un_slo_msed_64kb_0031	Rovnako nesmie byť uložený ťažší trest než trest, ktorý mohol byť uložený v čase, ke trestný čin bol spáchaný.
human_rights_un_slo_msed_64kb_0032	Článok 12.
human_rights_un_slo_msed_64kb_0033	Nikto nesmie byť vystavený svojvoľnému zasahovaniu do súkromného života, rodiny, domova alebo korešpondencie, ani útokom na svoju česť a povesť.
human_rights_un_slo_msed_64kb_0034	Každý má právo na zákonnú ochranu proti takýmto zásahom alebo útokom.
human_rights_un_slo_msed_64kb_0035	Článok 13.
human_rights_un_slo_msed_64kb_0036	(1) Každý má právo voľne sa pohybovať a slobodne si zvoliť bydlisko v tom - ktorom štáte.
human_rights_un_slo_msed_64kb_0037	(2) Každý má právo opustiť hociktorú krajinu, i svoju vlastnú, a vrátiť sa do svojej krajiny.
human_rights_un_slo_msed_64kb_0038	Článok 14.
human_rights_un_slo_msed_64kb_0039	Každý má právo vyhľadať si pred prenasledovaním útočište v iných krajinách a požívať tam azyl.
human_rights_un_slo_msed_64kb_0040	Toto právo nemožno uplatňovať v prípade stíhania na ozaj odôvodneného nepolitickými zločinmi alebo činmi, ktoré sú v rozpore s cieľami a zásadami Spojených národov.
human_rights_un_slo_msed_64kb_0041	Článok 15.
human_rights_un_slo_msed_64kb_0042	Každý má právo na štátnu príslušnosť.
human_rights_un_slo_msed_64kb_0043	Nikto nesmie byť svojvoľne zbavený svojej štátnej príslušnosti, ani práva svoju štátnu príslušnosť zmieniť.
human_rights_un_slo_msed_64kb_0044	Článok 16.
human_rights_un_slo_msed_64kb_0045	Muži a ženy, ak dosiahli plnoletosť, majú právo bez hociakého obmedzenia z dôvodov rasovej, národnostei alebo náboženskej príslušnosti uzavrieť manželstvo a založiť rodinu.
human_rights_un_slo_msed_64kb_0046	Čo sa manželstva týka, majú počas jeho trvania i pri jeho rozlúčení rovnaké práva.
human_rights_un_slo_msed_64kb_0047	Manželstvá môžu byť uzavrené len so slobodným a plným súhlasom nastávajúcich manželov.
human_rights_un_slo_msed_64kb_0048	Rodina je prirodzenou a základnou jednotkou spoločnosti a má nárok na ochranu so strany spoločnosti štátu.
