human_rights_un_spa_mr_64kb_0001	Declaración Universal de Derechos Humanos
human_rights_un_spa_mr_64kb_0002	Adoptada y proclamada por la Asamblea General en su resolución 217 A (III), de 10 de diciembre de 1948
human_rights_un_spa_mr_64kb_0003	Preámbulo
human_rights_un_spa_mr_64kb_0004	Considerando que la libertad, la justicia y la paz en el mundo tienen por base el reconocimiento de la dignidad intrínseca y de los derechos iguales e inalienables de todos los miembros de la familia humana,
human_rights_un_spa_mr_64kb_0005	Considerando que el desconocimiento y el menosprecio de los derechos humanos han originado actos de barbarie ultrajantes para la conciencia de la humanidad;
human_rights_un_spa_mr_64kb_0006	y que se ha proclamado, como la aspiración más elevada del hombre, el advenimiento de un mundo en que los seres humanos, liberados del temor y de la miseria, disfruten de la libertad de palabra y de la libertad de creencias,
human_rights_un_spa_mr_64kb_0007	Considerando esencial que los derechos humanos sean protegidos por un régimen de Derecho, a fin de que el hombre no se vea compelido al supremo recurso de la rebelión contra la tiranía y la opresión,
human_rights_un_spa_mr_64kb_0008	Considerando también esencial promover el desarrollo de relaciones amistosas entre las naciones,
human_rights_un_spa_mr_64kb_0009	Considerando que los pueblos de las Naciones Unidas han reafirmado en la Carta su fe en los derechos fundamentales del hombre, en la dignidad y el valor de la persona humana y en la igualdad de derechos de hombres y mujeres;
human_rights_un_spa_mr_64kb_0010	y se han declarado resueltos a promover el progreso social y a elevar el nivel de vida dentro de un concepto más amplio de la libertad,
human_rights_un_spa_mr_64kb_0011	Considerando que los Estados Miembros se han comprometido a asegurar, en cooperación con la Organización de las Naciones Unidas, el respeto universal y efectivo a los derechos y libertades fundamentales del hombre, y
human_rights_un_spa_mr_64kb_0012	Considerando que una concepción común de estos derechos y libertades es de la mayor importancia para el pleno cumplimiento de dicho compromiso,
human_rights_un_spa_mr_64kb_0013	La Asamblea General
human_rights_un_spa_mr_64kb_0014	Proclama la presente Declaración Universal de Derechos Humanos como ideal común por el que todos los pueblos y naciones deben esforzarse, a fin de que tanto los individuos como las instituciones, inspirándose constantemente en ella, promuevan, mediante la enseñanza y la educación, el respeto a estos derechos y libertades, y aseguren, por medidas progresivas de carácter nacional e internacional, su reconocimiento y aplicación universales y efectivos, tanto entre los pueblos de los Estados Miembros como entre los de los territorios colocados bajo su jurisdicción.
human_rights_un_spa_mr_64kb_0015	Artículo 1
