human_rights_un_spn_krs_64kb_0001	Declaración Universal de Derechos Humanos
human_rights_un_spn_krs_64kb_0002	Adoptada y proclamada por la Asamblea General en su resolución 217 A (III), de
human_rights_un_spn_krs_64kb_0003	10 de diciembre de 1948
human_rights_un_spn_krs_64kb_0004	Preámbulo
human_rights_un_spn_krs_64kb_0005	Considerando que la libertad, la justicia y la paz en el mundo tienen por base elreconocimiento de la dignidad intrínseca y de los derechos iguales e inalienablesde todos los miembros de la familia humana,
human_rights_un_spn_krs_64kb_0006	Considerando que el desconocimiento y el menosprecio de los derechoshumanos han originado actos de barbarie ultrajantes para la conciencia de lahumanidad;
human_rights_un_spn_krs_64kb_0007	y que se ha proclamado, como la aspiración más elevada delhombre, el advenimiento de un mundo en que los seres humanos, liberados deltemor y de la miseria, disfruten de la libertad de palabra y de la libertad decreencias,
human_rights_un_spn_krs_64kb_0008	Considerando esencial que los derechos humanos sean protegidos por unrégimen de Derecho, a fin de que el hombre no se vea compelido al supremorecurso de la rebelión contra la tiranía y la opresión,
human_rights_un_spn_krs_64kb_0009	Considerando también esencial promover el desarrollo de relaciones amistosasentre las naciones,
human_rights_un_spn_krs_64kb_0010	Considerando que los pueblos de las Naciones Unidas han reafirmado en la
human_rights_un_spn_krs_64kb_0011	Carta su fe en los derechos fundamentales del hombre, en la dignidad y el valorde la persona humana y en la igualdad de derechos de hombres y mujeres;
human_rights_un_spn_krs_64kb_0012	y sehan declarado resueltos a promover el progreso social y a elevar el nivel de vidadentro de un concepto más amplio de la libertad,
human_rights_un_spn_krs_64kb_0013	Considerando que los Estados Miembros se han comprometido a asegurar, encooperación con la Organización de las Naciones Unidas, el respeto universal yefectivo a los derechos y libertades fundamentales del hombre, y
human_rights_un_spn_krs_64kb_0014	Considerando que una concepción común de estos derechos y libertades es dela mayor importancia para el pleno cumplimiento de dicho compromiso,
human_rights_un_spn_krs_64kb_0015	La Asamblea General
human_rights_un_spn_krs_64kb_0016	Proclama la presente Declaración Universal de Derechos Humanos como idealcomún por el que todos los pueblos y naciones deben esforzarse, a fin de quetanto los individuos como las instituciones, inspirándose constantemente en ella,promuevan, mediante la enseñanza y la educación, el respeto a estos derechosy libertades, y aseguren, por medidas progresivas de carácter nacional einternacional, su reconocimiento y aplicación universales y efectivos, tanto entrelos pueblos de los Estados Miembros como entre los de los territorios colocadosbajo su jurisdicción.
human_rights_un_spn_krs_64kb_0017	Artículo 1
human_rights_un_spn_krs_64kb_0018	Todos los seres humanos nacen libres e iguales en dignidad y derechos y,dotados como están de razón y conciencia, deben comportarse fraternalmentelos unos con los otros.
human_rights_un_spn_krs_64kb_0019	Artículo 2
human_rights_un_spn_krs_64kb_0020	Toda persona tiene los derechos y libertades proclamados en esta Declaración,sin distinción alguna de raza, color, sexo, idioma, religión, opinión política o decualquier otra índole, origen nacional o social, posición económica, nacimiento ocualquier otra condición.
human_rights_un_spn_krs_64kb_0021	Además, no se hará distinción alguna fundada en la condición política, jurídica ointernacional del país o territorio de cuya jurisdicción dependa una persona,tanto si se trata de un país independiente, como de un territorio bajoadministración fiduciaria, no autónomo o sometido a cualquier otra limitación desoberanía.
human_rights_un_spn_krs_64kb_0022	Artículo 3
human_rights_un_spn_krs_64kb_0023	Todo individuo tiene derecho a la vida, a la libertad y a la seguridad de supersona.
human_rights_un_spn_krs_64kb_0024	Artículo 4
human_rights_un_spn_krs_64kb_0025	Nadie estará sometido a esclavitud ni a servidumbre;
human_rights_un_spn_krs_64kb_0026	la esclavitud y la trata deesclavos están prohibidas en todas sus formas.
human_rights_un_spn_krs_64kb_0027	Artículo 5
human_rights_un_spn_krs_64kb_0028	Nadie será sometido a torturas ni a penas o tratos crueles, inhumanos odegradantes.
human_rights_un_spn_krs_64kb_0029	Artículo 6
human_rights_un_spn_krs_64kb_0030	Todo ser humano tiene derecho, en todas partes, al reconocimiento de supersonalidad jurídica.
human_rights_un_spn_krs_64kb_0031	Artículo 7
human_rights_un_spn_krs_64kb_0032	Todos son iguales ante la ley y tienen, sin distinción, derecho a igual protecciónde la ley.
human_rights_un_spn_krs_64kb_0033	Todos tienen derecho a igual protección contra toda discriminación queinfrinja esta Declaración y contra toda provocación a tal discriminación.
human_rights_un_spn_krs_64kb_0034	Artículo 8
human_rights_un_spn_krs_64kb_0035	Toda persona tiene derecho a un recurso efectivo, ante los tribunales nacionalescompetentes, que la ampare contra actos que violen sus derechosfundamentales reconocidos por la constitución o por la ley.
human_rights_un_spn_krs_64kb_0036	Artículo 9
human_rights_un_spn_krs_64kb_0037	Nadie podrá ser arbitrariamente detenido, preso ni desterrado.
human_rights_un_spn_krs_64kb_0038	Artículo 10
human_rights_un_spn_krs_64kb_0039	Toda persona tiene derecho, en condiciones de plena igualdad, a ser oídapúblicamente y con justicia por un tribunal independiente e imparcial, para ladeterminación de sus derechos y obligaciones o para el examen de cualquieracusación contra ella en materia penal.
human_rights_un_spn_krs_64kb_0040	Artículo 11
human_rights_un_spn_krs_64kb_0041	1.
human_rights_un_spn_krs_64kb_0042	Toda persona acusada de delito tiene derecho a que se presuma suinocencia mientras no se pruebe su culpabilidad, conforme a la ley y enjuicio público en el que se le hayan asegurado todas las garantíasnecesarias para su defensa.
human_rights_un_spn_krs_64kb_0043	2.
