human_rights_un_ukr_r90_64kb_0001	ЗАГАЛЬНА ДЕКЛАРАЦІЯ ПРАВ ЛЮДИНІ
human_rights_un_ukr_r90_64kb_0002	ПРЕАМБУЛА
human_rights_un_ukr_r90_64kb_0003	Беручи до уваги, що визнання гідності, яка властива всім членам людської сім'ї, і рівних та невід'ємних їх прав є основою свободі, справедливості та загального миру;
human_rights_un_ukr_r90_64kb_0004	іберучи до уваги, що зневажання і нехтування правами людини призвели до варварських актів, які обурюють совість людства, і що створення такого світу, в якому люди будуть мати свободу слова і переконань і будуть вільні від страху і нужди, проголошено як високе прагнення людей;
human_rights_un_ukr_r90_64kb_0005	іберучи до уваги, що необхідно, щоб права людини охоронялися силою закону з метою забезпечення того, щоб людина не була змушена вдаватися як до останнього засобу до повстання проти тиранії і гноблення;
human_rights_un_ukr_r90_64kb_0006	іберучи до уваги, що необхідно сприяти розвиткові дружніх відносин між народами;
human_rights_un_ukr_r90_64kb_0007	іберучи до уваги, що народи Об'єднаних Націй підтвердили в Статуті свою віру в основні права людини, в гідність і цінність людської особи і в рівноправність чоловіків і жінок та вирішили сприяти соціальному прогресові і поліпшенню умов життя при більшій свободі;
human_rights_un_ukr_r90_64kb_0008	іберучи до уваги.
human_rights_un_ukr_r90_64kb_0009	що держави‐члени зобов'язались сприяти у співробітництві з Організацією Об'єднаних Націй загальній повазі і додержанню прав людини і основних свобод;
human_rights_un_ukr_r90_64kb_0010	іберучи до уваги, що загальне розуміння характеру цих прав і свобод має величезне значення для повного виконання цього зобов'язання,
human_rights_un_ukr_r90_64kb_0011	ГЕНЕРАЛЬНА АСАМБЛЕЯпроголошує цю Загальну Декларацію Прав Людини як завдання, до виконання якого повинні прагнути всі народи і всі держави з тим, щоб кожна людина і кожний орган суспільства, завжди маючи на увазі цю Декларацію, прагнули шляхом освіти сприяти поважанню цих прав і свобод і забезпеченню, шляхом національних і міжнародних прогресивних заходів, загального і ефективного визнання і здійснення їх як серед народів держав ‐ членів Організації, так і серед народів територій, що перебувають під їх юрисдикцією.
human_rights_un_ukr_r90_64kb_0012	Стаття 1.
human_rights_un_ukr_r90_64kb_0013	Всі люди народжуються вільними і рівними у своїй гідності та правах.
human_rights_un_ukr_r90_64kb_0014	Вони наділені розумом і совістю і повинні діяти у відношенні один до одного в дусі братерства.
human_rights_un_ukr_r90_64kb_0015	Стаття 2.
human_rights_un_ukr_r90_64kb_0016	Кожна людина повинна мати всі права і всі свободи, проголошені цією Декларацією, незалежно від раси, кольору шкіри, статі, мови, релігії, політичних або інших переконань, національного чи соціального походження, майнового, станового або іншого становища.
human_rights_un_ukr_r90_64kb_0017	Крім того, не повинно проводитися ніякого розрізнення на основі політичного, правового або міжнародного статусу країни або території, до якої людина належить, незалежно від того, чи є ця територія незалежною, підопічною, несамоврядованою або як‐небудь інакше обмеженою у своєму суверенітеті.
human_rights_un_ukr_r90_64kb_0018	таття 3.
human_rights_un_ukr_r90_64kb_0019	Кожна людина має право на життя, на свободу і на особисту недоторканність.
human_rights_un_ukr_r90_64kb_0020	Стаття 4.
human_rights_un_ukr_r90_64kb_0021	Ніхто не повинен бути в рабстві або у підневільному стані;
human_rights_un_ukr_r90_64kb_0022	рабство і работоргівля забороняються в усіх їх видах.
human_rights_un_ukr_r90_64kb_0023	Стаття 5.
human_rights_un_ukr_r90_64kb_0024	Ніхто не повинен зазнавати тортур, або жорстокого, нелюдського, або такого, що принижує його гідність, поводження і покарання.
human_rights_un_ukr_r90_64kb_0025	Стаття 6.
human_rights_un_ukr_r90_64kb_0026	Кожна людина, де б вона не перебувала, має право на визнання її правосуб'єктності.
human_rights_un_ukr_r90_64kb_0027	Стаття 7.
human_rights_un_ukr_r90_64kb_0028	Всі люди рівні перед законом і мають право, без будь‐якої різниці, на рівний їх захист законом.
human_rights_un_ukr_r90_64kb_0029	Усі люди мають право на рівний захист від якої б то не було дискримінації, що порушує цю Декларацію, і від якого б то не було підбурювання до такої дискримінації.
human_rights_un_ukr_r90_64kb_0030	Стаття 8.
