human_rights_un_wal_ezwa_64kb_0001	DÉCLARÅCION UNIVERSÈLE DÈS DREÛTS D’L’OME
human_rights_un_wal_ezwa_64kb_0002	[Preamble]
human_rights_un_wal_ezwa_64kb_0003	Il a stu ad’mètu ’ne fèye po totes
human_rights_un_wal_ezwa_64kb_0004	Qui l’fondemint dè-l’lîbèté, dè-l djustice èt dè-l’påye tot-avå l’monde, c’èstl’rik’nohnance dè-l’dignité qu’èst l’prôpe di tos lès-omes èt dès dreûts égâls qu’ilsont èt qu’on n’èlzi pout mèskeure;
human_rights_un_wal_ezwa_64kb_0005	Qui l’fêt’ dè n’in rik’nohe ou dè foler ås pîds les dreûts d’l’ome ont k’dû sacwantsa rabahî èt brutålizer l’s-ôtes d’ine tèle manîre qui l’consyince di l’ûmanité ènn’astu révoltêye;
human_rights_un_wal_ezwa_64kb_0006	Qui l’pus grand èspwér dès djins, c’èst l’avén’mint d’on monde wice qui lès-omessèront lîbes dè djåser èt dè creûre, tot-z-èstant d’halés dè-l’sogne èt dè-l’mizére;
human_rights_un_wal_ezwa_64kb_0007	Qui lès dreûts d’l’ome divèt-èsse ptotéjés d’on rèdjime di dreût di téle dôrt quil’ome ènn’arive nin a l’rèvole disconte l’abus dè pouvwér èt l’assèrvih’mint, fåted’aveûr situ aconté èt après aveûr tot fèt po-z-èsse rik’nohou;
human_rights_un_wal_ezwa_64kb_0008	Qu’i fåt mète èn-avant, å-d’-dizeûr di tot, l’amitié inte lès peûpes èt les nåcions;
human_rights_un_wal_ezwa_64kb_0009	Qui lès peûpes dès Nåcions-Unies ont volou r’dîre chal leû fwé divins lès dreûtsnaturéls di l’ome, divins l’dignité èt l’valeûr dès djins, divins l’égålité dès dreûtsinte lès-omes èt lès feumes, èt qu’il ont dit leû vol’té dè fé tot po mète èn-alèdje liprogrès sociål èt po mète è plèce dès todi mèyeûzès condicions dè viker divins
human_rights_un_wal_ezwa_64kb_0010	’ne lîbèrté todi plus grande;
human_rights_un_wal_ezwa_64kb_0011	Qui lès-Etats Mambes s’ont-st-égadjî a mète èn-oûve po d’bon li rèspèt dèsdreûts d’l’ome èt d’sès vrêyes lîbèrtés tot-avå l’monde, avou on côp di spale dil’Organizåcion dès Nåcions-Unies;
human_rights_un_wal_ezwa_64kb_0012	Qu’ine minme îdèye di cès dreûts èt d’cès lîbèrtés-chal èst dè-l’pus hôteimportance po poleûr tini vrêmint ciste ègadj’mint-la.
human_rights_un_wal_ezwa_64kb_0013	L’ASSIMBLÊYE GÉNÉRÅLE proclame li prézinte
human_rights_un_wal_ezwa_64kb_0014	DÉCLARÅCION UNIVERSÈLE DÈS DREÛTS D’L’OME come èstant lès valeûrsqui tos lès peûpes èt totes lès nåtions divrît mète èn-ouve.
human_rights_un_wal_ezwa_64kb_0015	Qui lès cis qui t’nètl’vièrna dès sôciétés tot comme chaskeun’ å rès, avou djoûrmay cisse
human_rights_un_wal_ezwa_64kb_0016	Dèclaråcion è l’tiesse, sayèsse dè mète èn-avant li rèspèt d’cès dreûts ètlîbertés-chal, divins lès scoles èt l’éducåcion po nn’ariver, pitchote a midjote,gråce a dès mèzeûres nacionåles èt internacionåles, a ’ne rik’nohance di cèsdreûts èt d’cès lîbertés-la, po qu’i sèyèsse mètous èn-alèdje po d’bon tot avål’monde, ot’tant po lès populåcions dès-Etats Mambes zèls minmes qui po lèscisses dès téres qui sont d’zos leû k’dûhance.
human_rights_un_wal_ezwa_64kb_0017	Artike prumî (1)
human_rights_un_wal_ezwa_64kb_0018	Tos lès-omes vinèt-st-å monde lîbes, èt so-l’minme pîd po çou qu’ènn’èst d’leudignité èt d’leus dreûts.
human_rights_un_wal_ezwa_64kb_0019	I n’sont nin foû rêzon èt-z-ont-i leû consyince po zèls, çouqu’èlzès deût miner a s’kidûre onk’ po l’ôte tot come dès frés.
human_rights_un_wal_ezwa_64kb_0020	Artike deûzinme (2)
human_rights_un_wal_ezwa_64kb_0021	Chaskeun’, seûy-t-i ome ou feume, pout fé valeûr tos lès dreûts èt totes lèslîbèrtés qui nous sont rachou d’vins l’prézinte Dèclaråcion, èt n’pôrèt-on prindenouk’ po mons qu’i n’èst a cåse di s’race, dè-l’coleûr di s’pè, di s’lingadje, di çouqu’i creût, di sès-îdèyes so-l’politique ou so tot ôte tchwès, di qué payis qu’iprovint, di s’condicion d’ritche ou d’pôve, dè-l’contrêye wice qu’il a vèyou l’djou oubin d’tot minme qwè qui ç’seûye.
human_rights_un_wal_ezwa_64kb_0022	Di pus’ nolu n’deût påti dè-l’condicion dis’patrèye rapôrt ås-ôtes payis, qui l’contrêye ou l’payis di d’wice qu’i provintseyèsse indépandants, nin mêsses di zèls po d’bon ou bin rastrindou d’vins leûsdreûts, èt mågré tot çou qu’on pôreût tûzer di leû gouvèrnumint.
human_rights_un_wal_ezwa_64kb_0023	Artike treûzinme (3)
human_rights_un_wal_ezwa_64kb_0024	Chaskeun’ a dreût a-l’vicårèye, a-l’îberté èt a-l’sûreté po lu minme.
human_rights_un_wal_ezwa_64kb_0025	Article qwatrinme (4)
human_rights_un_wal_ezwa_64kb_0026	Nolu n’sèrè t’nou come èsclåve ou ovrî sins salêre, l’èclavadje di tote sôrt, totcome dè fé martichî dès-èsclåves di tot l’minme quéle manîre sont disfindous.
human_rights_un_wal_ezwa_64kb_0027	Artike cinquinme (5)
human_rights_un_wal_ezwa_64kb_0028	Nolu n’pôrèt-èsse må trêti, mètou a-l’torteûre, ou rabahi avou dès cruwélèsponnes nin dègnes d’in-ome.
human_rights_un_wal_ezwa_64kb_0029	Artike sihinme (6)
human_rights_un_wal_ezwa_64kb_0030	Chaskeun’ a l’dreût d’èsse rik’nohou tot-avå po çou qu’il èst sorlon si lwè totcome sès dreûts.
human_rights_un_wal_ezwa_64kb_0031	Artike sètinme (7)
human_rights_un_wal_ezwa_64kb_0032	Turtos sont so-l’minme pîd po d’vant li lwè èt turtos ont dreût d’èsse protéjés d’-l’minme manîre pa li lwè.
